Summary,Issue key,Issue Type,Status,Priority,Resolution,Created,Resolved,Fix versions,Labels,Labels,Labels,Labels,Description,Environment,Custom field (Severity),Sprint,Sprint,Sprint,Custom field (Story Points)
The users onboarded UI and API have different keys for same value,OBN1-12555,Bug,Done,P3,,7/5/2023 9:05,,OBN 1.38,,,,,"*Prerequisites:*

* the external onboarded application should exist

*Steps to Reproduce:*

# user log in as Operator (or linked to application Referrer)
# user navigates to “My Merchants > Open Applications” page
# user searches for application from prereq.
# user clicks on “Application data” from “Application Dashboard” tab
# user expands “About its Owners” dropdown

*Expected Result:*

* the Owners field is expanded with “Create portal user” field, and right value in it

*Actual Result:*

* the Owners field is expanded with “Create portal user” field, and N/A value in it



!image-20230705-081238.png|width=1442,height=709!",,,91,94,95,1
Application user onboarded using UI logs out after submitting the details,OBN1-12554,Bug,Done,P2,,7/5/2023 7:13,,OBN 1.37,,,,,"# Sig up as application using UI
# Complete all steps in onboarding
# On “Review and Submit“ page click on the “Submit“ button
# Stay on the page and wait until the request to check the status of the applicant is sent

*Expected result:*

{{merchant-onboarding/check-application-status}} is successfully received

*Actual result:*

Applicant is logged out. User token is deleted from the “user_token“ table. User receives a reset password token.

!image-20230705-061209.png|width=1919,height=458!

Attached DB - 

[email@momo.com|mailto:email@momo.com]

Mihailovna_2010",,S2,94,,,1
[Invoices] Issue on invoices generation,OBN1-12482,Bug,Done,P1 ,,7/3/2023 6:57,,OBN 1.37,,,,,"Issue received on production (03.07.2023):

!image-20230703-055822.png|width=1292,height=849!",,,94,,,3
Error received on freeze funds for chargeback from Safeguard account,OBN1-12479,Bug,Done,P1 ,,6/30/2023 15:15,,OBN 1.37,,,,,"*Preconditions:*

# Merchant has a processed RTP
# Merchant has 1000 units in Merchant Clearing account
# Merchant has 15000  safeguarded units in Safeguard account

*Steps to reproduce:*

# Create a Chargeback for merchant’s RTP with total chargeback amount 2000 units (with Stage: Status → Incontestable dispute: Closed: Found against merchant)

*Expected result:*

Chargeback is created. The total of chargeback reserved amount are freezed in Safeguard account. 

*Actual result:* 

Money are not frozen for created Chargeback

[2023-06-30T09:39:08.456268+00:00] app.ERROR: Handling ""App\Message\Payment\ChargebackProcessingMessage"" failed: Insufficient transferring funds(account: 932fd30d-5c69-4f4f-98bb-92a1b0d800af, minor units: 2130850, already in transfer: 0, transferring: -200) Trace: #0 ChargebackSplittingService.php:511: App\Entity\Payment\Account->increaseTransferringMinorUnits(..) #1 PhysicalPaymentService.php:264: App\Service\Payment\Chargeback\ChargebackSplittingService::App\Service\Payment\Chargeback\{closure}(..) #4 PhysicalPaymentService.php:292: App\Doctrine\EntityManager\CustomEntityManager->retryableTransaction(..) #5 PhysicalPaymentService.php:80: App\Service\Payment\PhysicalPaymentService->createPayment(..) #6 PaymentProcessor.php:54: App\Service\Payment\PhysicalPaymentService->transfer(..) #7 ChargebackSplittingService.php:348: App\Service\Payment\PaymentProcessor->process(..) #8 ChargebackSplittingService.php:296: App\Service\Payment\Chargeback\ChargebackSplittingService->sendPaymentWithCustomRef(..) #9 ChargebackSplittingService.php:133: App\Service\Payment\Chargeback\ChargebackSplittingService->sendPayment(..) #10 ChargebackSplittingService.php:79: App\Service\Payment\Chargeback\ChargebackSplittingService->moveAllFees(..) [] []",,S2,94,,,3
[Prod] 2FA exception on production,OBN1-12464,Bug,Done,P1 ,,6/29/2023 13:20,,OBN 1.37,,,,,"Fix the class import:

!image-20230629-122155.png|width=1351,height=545!

To be tested: Any action which requires 2FA confirmation



In {{\App\EventListener\Core\ExceptionListener}} we have to take into the consideration {{use Symfony\Component\Security\Core\Exception\AccessDeniedException;}}.",,,94,,,2
"[Prod] Settlement ""not enough"" funds issue",OBN1-12463,Bug,Done,P1 ,,6/29/2023 13:07,,OBN 1.38,,,,,"*Preconditions:*

# Use production env

*Steps:*

# Run settlement for “*815fee0b-4651-4450-95fa-4f2679ae07ba*“ Merchant

*Actual result:*

!image-20230629-120832.png|width=1263,height=132!

!image-20230703-055609.png|width=1284,height=166!



Investigate why Merchant doesn’t have supposed funds",,,94,95,96,3
"Erorrs received when user approves/declines an ""Update Bank Account"" task",OBN1-12404,Bug,Done,P5,,6/27/2023 9:51,,OBN 1.36,,,,,"!image-20230627-085208.png|width=1180,height=569!",,S4,93,,,1
[UI] The incorrect displaying of Merchant's Float on Referrer page,OBN1-12393,Bug,Done,P4,,6/26/2023 15:33,,OBN 1.36,,,,,"*Steps to Reproduce:*

# log in as Referrer
# navigate to My Organisation > My Billing Plan page
# scroll to Settlement block

*Expected Result*:

* The float field is populated with Merchant’s Float from DB

Actual Result:

* The float field have “N/A” value instead of value from DB





!image-20230626-143312.png|width=393,height=181!",,,93,,,1
[API] User is able to create a referrer with 'csResellerId' populated and 'csUserName' empty,OBN1-12368,Bug,Done,P5,,6/23/2023 7:04,,OBN 1.37,,,,,"*Steps to reproduce:*

# Authenticate as Operator Admin user
# Send a POST request to ‘/user/referrer’ endpoint with following Cardstream information:

!image-20230623-061340.png|width=341,height=93!

*Expected result:* 

errors.csUserName[0].details: “No Cardstream reseller credentials provided for reseller ID.” message is received in response

*Actual result:*

Referrer is successfully created:

!image-20230623-061139.png|width=1489,height=900!",,S4,94,,,1
Invalid response when Referrer sends wrong json body on Merchant onboarding,OBN1-12363,Bug,Done,P4,,6/22/2023 13:04,,OBN 1.36,,,,,"Precondition: external Referrer exists

Steps to reproduce:

# Send a {{/ext-ref/login}} request using Referrer api key and api secret values to get a Referrer token
# Send a {{/ext-ref/merchant-onboarding}} request to initiate a Merchant onboarding and create an application
# Send {{/ext-ref/merchant-onboarding/:applicationUuid}} request with body that is attached (invalid array for the acquirer section)

*Expected result:*

400 Bad request is returned and “Invalid JSON body“ message is returned in response message

*Actual result:*

500 Internal server error is returned

!image-20230622-120256.png|width=1418,height=870!",,S4,93,,,1
"[API] User without ""ACCOUNTS"" permissions has access to ""Manage users"" page",OBN1-12327,Bug,Done,P3,,6/20/2023 15:18,,OBN 1.36,Permissions,Users,,,"*Preconditions:*

# <Type> User profile _without_ “ACCOUNTS” permissions exists in “user_organization_members” table
| Type |
| RESELLER ROLE_STANDARD |
| REFERRER ROLE_STANDARD |
# User logs in 
# User navigates to page:
| RESELLER → My Referrers > Active Referrer |
| RESELLER → My Merchants > Active Merchants > Manage users |
| RESELLER → My Merchants > Open Applications > Manage users |
| REFERRER → My Merchants > Active Merchants > Manage users |
| REFERRER → My Merchants > Open Applications > Manage users |

*Expected result:* 

“Manage users” tab is not displayed for users without “ACCOUNTS” permissions

*Actual result:* 

The “Manage users” tab is displayed for users without “ACCOUNTS” permissions. And user is able to navigate to the page",,S4,93,,,1
Error received on API credentials generation when a user from Referrer's organisation didn't finish authentication process,OBN1-12305,Bug,Done,P4,,6/20/2023 9:56,,OBN 1.35,API,Users,,,"*Steps to reproduce:*

# Log in as Referrer that uses API with credentials:
Email: [reftwo@test2.com|mailto:reftwo@test2.com]
Pass:  Flood15?Voice
# Navigate to “Account Settings” page
# Click on “Generate API secret” button

*Exapected result:* 

API key & API secret is successfully generated. 

*Actual result:*

Error received on generating Api secter because a user form Referrer’s organisation didn’t finish the authentication process:


!image-20230620-090415.png|width=1574,height=244!",,S4,92,,,1
"[UI] User without ""ACCOUNTS"" permissions has access to ""Manage users"" page",OBN1-12303,Bug,Done,P3,,6/20/2023 9:05,,OBN 1.36,Permissions,Users,,,"*Preconditions:*

# <Type> User profile _without_ “ACCOUNTS” permissions exists in “user_organization_members” table
| Type |
| RESELLER ROLE_STANDARD |
| REFERRER ROLE_STANDARD |
# User logs in 
# User navigates to page:
| RESELLER → My Referrers > Active Referrer |
| RESELLER → My Merchants > Active Merchants > Manage users |
| RESELLER → My Merchants > Open Applications > Manage users |
| REFERRER → My Merchants > Active Merchants > Manage users |
| REFERRER → My Merchants > Open Applications > Manage users |

*Expected result:* 

“Manage users” tab is not displayed for users without “ACCOUNTS” permissions

*Actual result:* 

The “Manage users” tab is displayed for users without “ACCOUNTS” permissions. And user is able to navigate to the page",,S4,93,,,1
Duplicated merchant invoices parts are created when the invoice generation command is re-executed,OBN1-12200,Bug,Done,P1 ,,6/15/2023 8:56,,OBN 1.35,,,,,"*Precondition:*

# Merchant invoice exists for the Merchant (as example for the May)
# Merchant invoice part exists for the Merchant (also for the May)

*Steps to reproduce:*

# Run the {{obn:invoices:generate-for-merchants --force}}
# Enter the month of existing invoices (May)

*Expected result:*

Invoices and invoices parts are generated only for those merchants who do not have them

*Actual result:*

Invoices parts are generated again for the Merchant",,S2,92,,,3
Operator can't reject the application ,OBN1-12165,Bug,Done,P1 ,,6/13/2023 13:58,,OBN 1.36,,,,,"*Precondition:* an application with “PENDING“ status exists. a user and profile exists for the application. a token DOESN’T exists for the user.

*Steps to reproduce:*

# Log in as Operator user
# Navigate to “My Merchants“ → “Open applications“
# Expand an application with “IN REVIEW“/ ”IN PROGRESS” status
# Click on “Application status“ tab
# Click “reject application“ button
# Select “Temporary (allow retry after 30 days)“ in drop-down
# Click “Confirm“ button

*Expected result:*

The ""Application rejected by workflow step"" emails to all Operator Admin users' email addresses are sent. Applicant receives a ""Your OBN Global merchant onboarding application"" notification email
And applicant does not displays on the ""Open application"" page anymore
And merchant is deleted from the ""payment_merchants"" table

*Actual result:*

“Unknown error“ error message displays, error in console:

!image-20230613-125701.png|width=1919,height=877!

!image-20230613-125719.png|width=1176,height=817!",,S2,93,,,2
[Prod] Referrer invoice not generated on production,OBN1-12030,Bug,Done,P1 ,,6/2/2023 14:57,,OBN 1.35,,,,,"*Preconditions:*

# Use attached database backup 

*Steps:*

# Generate invoice for May

*Expected result:*

Merchant and Referrer invoice should be generated

*Actual result:*

Merchant invoice is generated.

Referrer invoice ISN’T generated.

[^dump.sql]

",,,92,,,3
[Onboarding] No possibility to select only offer services for merchant details,OBN1-11951,Bug,Done,P4,,6/1/2023 8:55,,OBN 1.35,,,,,"*Steps to reproduce:*

# Initiate an onboarding.
# Complete all the steps with mandatory data.
# On “About its Payments” step, Merchant details section, select “Yes” for “Do you offer services?” and “No” for “Do you offer products/goods?”
# Notice the validation message “Please select either product and/or services”.

*Expected result:*

User is able to select services AND/OR products.

*Actual result:*

User is able to select services AND products or just products.",,S4,92,,,1
Errors received on freezing money for a chargeback when available Safeguard funds (minor units - transferring minor units) < than amount needed for chargeback,OBN1-11886,Bug,Done,P2,,5/29/2023 12:10,,OBN 1.34,Payments,,,,"*Preconditions:*

# payment_merchants.safeguarded_minor_units = 18500 units
# Max dispute fee for the merchant = 18200 units
# Available funds in Safeguard = 18000 units (payment_accounts.minor_units - payment_accounts.transferring_minor_units)

*Steps to reproduce:*

# Log in as Operator
# Navigate to “Activity” tab
# Select a RTP 
# Click on “Create dispute case” button
# Fill witn 1.00 following fields: Dispute amount & Additional compensation amount
# Fill all needed information and create the chargeback

*Expected result:*

The CB is created. Money for CB are freezed.

*Actual result:*

Freezing process is not finished

!image-20230529-111051.png|width=1518,height=772!





Note: 

Changes for Zapp Refunds should be also done (change the error received when not enough money available in Safeguard)",,S2,91,,,2
Wrong entity name for pending approval task (update bank account details),OBN1-11885,Bug,Done,P3,,5/29/2023 10:46,,OBN 1.33,,,,,"*Precondition:* a task with “UPDATE_ACCOUNT“ type exists in the DB

*Steps to reproduce:*

# Log in as Operator 
# Navigate on the “Tasks“ → “Approval page“
# Expand a task

*Expected result:*

Entity name displays as:

# for Merchant:
## business trading name of unincorporated companies;
## company legal name for incorporated companies;
# for Referrer: Referrer name

*Actual result:*

Displays the entity type

!image-20230530-054703.png|width=1896,height=825!

!image-20230530-054839.png|width=1903,height=809!",,S4,91,,,1
"""Create portal user"" checkbox is not present for Owners in Limited liability partnership companies",OBN1-11864,Bug,Done,P4,,5/25/2023 12:33,,OBN 1.35,,,,,"*Preconditions:*

* Sign-up new LLP company
* Confirm creation by email

*Steps to Reproduce:*

# log in as new created applicant
# populate all mandatory fields
# click on “Next” button
# expand any owner from “About its Owners” step

*Expected Result:*

* at the left bottom  corner of opened field is displayed and enabled “Create portal user“ checkbox

*Actual Result:*

* the “Create portal user” field is not presented at the field, each user is automatic not created ",,S4,92,,,1
Invalid user token on submit applicant details on onboarding,OBN1-11856,Bug,Done,P1 ,,5/24/2023 14:38,,OBN 1.34,,,,,"

# Sign up as applicant using UI
# Create a password
# Log in as applicant (new user token is created for the user)
# Fill in all steps on onboarding
# Click “Submit“ button
# Wait some seconds 

*Expected result:*

WF successfully started. {{merchant-onboarding/check-application-status}} is successfully  received

*Actual result:*

Applicant is logged out. User token is deleted from the “user_token“ table

!image-20230524-133700 (4431acf1-682d-4a4f-8a19-8798583f150e).png|width=1830,height=406!

for attached DB credentials for applicant

email: [Borea@Borea.com|mailto:Borea@Borea.com]

password: Mihailovna_2010",,S2,91,,,1
"[External] ""registeredOfficeAddress"" is sent in the request for personal organizations",OBN1-11809,Bug,Done,P5,,5/22/2023 14:00,,OBN 1.34,,,,,"*Preconditions:* External Referrer exists

*Steps to reproduce:*

# Send request to create a merchant entity (initiate merchant onboarding){{ /ext-ref/merchant-onboarding}}
# Sent final request to create a merchant (personal organisation){{ /ext-ref/merchant-onboarding/:applicationUuid}}
# Include in body ""registeredOfficeAddress"" in request for the organisation

*Expected result:*

Error, not allowed to sent ""registeredOfficeAddress"" for personal organisations.

*Actual result:*

Request was successfully sent

!image-20230522-130231.png|width=1511,height=911!",,S4,91,,,1
UI issues during onboarding,OBN1-11798,Bug,Done,P5,,5/22/2023 6:31,,OBN 1.33,,,,,,"*1 case - national insurance number*

# Make sig up as corporate organisation
# Fill in all the required fields at “About the Business“ step
# Click “Next“ button
# On “About its Management” step enter value for the “National insurance number“ for the officer
# Enter values for other mandatory fields on this step
# Click “Next“ button
# Check the value for “National insurance number“ field on “About its Owners“ step (value is present)
# Click “Previous“ button
# Delete value on “About its Management” step for the “National insurance number“ field for the officer
# Click “Next button“
# Check the “National insurance“ value

*Expected result:*

The empty value on “About its Management” step is displayed for the “National insurance number“ field on for officer

*Actual result:*

Displays the value entered previously on “About its Owners“ step



*2 case: Merchant industry*

 1. on “About its Payments” step select industry 

!image-20230522-112324.png|width=25%!

2. Select MCC

!image-20230522-112405.png|width=25%!

3. Enter all mandatory values on step and click “Next“ button

4. Check values on the “Review and Submit“ step - “About its payments“ section

!image-20230522-112612.png|width=1584,height=863!

5. Click on “Previous“ button

6. Change industry

7. Click “Next“ button

8. Check values on the “Review and Submit“ step - “About its payments“ section

*Expected result:*

When user changes the industry and do not selects the MCC - it does not allow him to go to another step. 

*Actual result:*

Displays old selected industry on Review and Submit

*3 case: Company legal name*

# Sign up as an incorporated company.
# Complete the “About the Business” step.
# Click on “Next” button.
# Refresh the page.
# Click on “Previous” button.
# Check the “Company legal name” field.

*Expected result:*

The “Company legal name” field should be filled with the previously inserted data.

*Actual result:*

The data from “Company legal name” field disappears. 



*4 case: Address*

# Sign up as an incorporated company.
# On “About the Business” step fill in the “*Registered office address*“
# Tick checkbox for the “*Trading address*“ - same as registered address
# Click “Next“ button
# Click “Previous“ button
# Change “country“ for the “*Registered office address*“
# Check the “country“ value for the “*Trading address*“

*Expected result:*

“*Trading address*“ value is the same as for the “*Registered office address*“

*Actual result:*

“*Trading address*“ value is not updated",S4,90,,,1
[Validation report] Not all Clearing accounts are included in the Validation report,OBN1-11730,Bug,Done,P3,,5/17/2023 10:14,,OBN 1.34,,,,,"*Preconditions:*

# Have multiple addresses for same account in Starling

*Steps:*

# Generate [validation report|https://cardstream.atlassian.net/browse/OBN1-8409] 

*Expected result:*

ALL the account addresses should be included in the report

*Actual result:*

Only one address is included in the validation report.

On production we see only new Clearing Account, not the old one",,,91,,,1
"No value is displayed for ""Billing Plan"" when transaction is not processed yet",OBN1-11609,Bug,Done,P4,,5/8/2023 10:27,,OBN 1.33,,,,,"*Preconditions:*

# RTP with “PENDING” status exists in “payment_requests_to_pay” table

*Steps to reproduce:*

# Log in as Admin user
# Navigate to “Activity”>”Sales”
# Filter Sales list by “PENDING” status
# Click on a sale transaction
# Check the information displayed in “Transaction details” pop-up

*Expected result:*

“N/A” value is displayed for “Billing plan” field

*Actual result:*

!image-20230508-092904.png|width=794,height=903!",,S4,90,,,1
"Operator admin can't get the ""Bambora application rejection"" pop-up on ""Application status"" - ERROR button",OBN1-11581,Bug,Done,P4,,5/5/2023 9:50,,OBN 1.33,,,,,"*Precondition:* 

# {{Register Merchant with PbBa}} step - was run
# mpa was rejected on Bambora side
# step has “ERROR“ status

*Steps to reproduce:*

# Log in as Operator admin user
# Navigate on the “My merchants“ → “Open application“ → “Application status“ tab
# Expand {{Register Merchant with PbBa}} step
# Click on the “ERROR“ button

*Expected result:*

Request to {{GET /bambora/enrolment/{applicationUuid}}} endpoint is sent. For user displays the ""Bambora application rejection"" pop-up with rejected reason and data

*Actual result:*

The ""Bambora application rejection"" pop-up is not displayed

!image-20230505-084943 (667e150c-c0b3-4201-8393-954cda03969c).png|width=1909,height=926!

Operator admin can successfully get all data not on UI:

!image-20230505-085244.png|width=1387,height=770!

applicant ID - 453

bambora submerchant ID - 7

merchant ID 374",,S4,90,,,2
[Prod] Invoices not generated on production,OBN1-11534,Bug,Done,P1 ,,5/3/2023 13:53,,OBN 1.33,,,,,"*Preconditions:*

# Production env
# An authorised and processed transaction on 2023-04-13 13:19:06

*Steps:*

# First day of 2023-05 month comes
# Invoices generation cronjobs run

*Expected result:*

Referrer and Merchant invoices should have been generated

*Actual result:*

Invoices are not generated

{panel:bgColor=#fffae6}
Warning! Generate missing invoices for April
{panel}",,,90,,,1
"Incorrect redirection to the applicant when Operator clicks on the ""view application"" button on ""Active referrers"" tab",OBN1-11503,Bug,Done,P4,,5/2/2023 14:26,,OBN 1.33,,,,,"*Precondition*: applicant/active merchant exists

# Log in as Operator admin
# Navigate on the “My Referrers“ > “Active referrers“ tab and expand the referrer
# Click the “Open applications“/”Active Merchants” tab
# Click on the “view application“/”view profile” link

*Expected result:*

Operator is redirected to the “My merchants“ > “Open application“/”Active Merchants” tab to the selected user and the applicant/merchant is expanded

*Actual result:*

Operator is redirected to the “Active merchants“ list

[^2023-05-02 16-23-14.mkv]",,S4,90,,,1
"Check-box should not be displayed for ""Load more..."" in ""Filters"" section's fields",OBN1-11452,Bug,Done,P5,,4/27/2023 9:53,,OBN 1.33,,,,,"*Steps to reproduce:*

# Log in
# Navigate to “Activity” > “Sales”/”Refunds” tab
# Select some fields in “Available fields” section
# Clicks on following filed:
Referrer
Merchant
Outlet

*Expected result:*

No Check-box is displayed near “Load more…”

*Actual result:*

!image-20230427-085347.png|width=2037,height=972!",,,87,90,,1
"Selected options are missing in ""Filters"" fields on ""Sales"" & ""Refunds"" tab when selected option is not on first page in the list",OBN1-11451,Bug,Done,P4,,4/27/2023 9:40,,OBN 1.33,,,,,"*Steps to reproduce:*

# Log in
# Navigate to “Activity” > “Sales”/”Refunds” tab
# Select some fields in “Available fields” section
# Enter +<value>+ in +<field>+  from “Filters” section 
# Select +<option>+ from the displayed list
# Delete the entered +<value>+ in +<field>+

*Expected result:*

The selected option is displayed in the field

*Actual result:*

The option dissappears when user erases the entered +<value>+

+Examples:+

+| value | field | option |+
| la       | Referrer | LaFee |
| co      | Merchant | coffeeLatte |
| co      | Outlet | coffeeLatte |",,S4,87,90,,1
"Emails are not sent to users when ""obn:deactivate-inactive-users"" command is run",OBN1-11409,Bug,Done,P4,,4/25/2023 13:58,,OBN 1.31,,,,,,"*Steps to reproduce:*

# User exists in “user_users” table
# ‘user_users.last_login_at’ = today - 120 days
# ‘php bin/console obn:deactivate-inactive-users’ command runs

*Expacted result:*

Email is sent to automatically deactivated user

*Actual result:*

Email is not sent to automatically deactivated user (because there is a check on sending email that doesn’t allow to sent emails to deactivated users)",S4,88,,,1
Emails should not be sent to users when 'obn:notify-inactive-users' runs,OBN1-11407,Bug,Done,P4,,4/25/2023 13:19,,OBN 1.31,,,,,"*Steps to reproduce:*

# {{DEACTIVATE_MERCHANT_EMAILS=1}} in .env
# User exists in “user_users” table
# “user_users.last_login_at” = today - 90 days
# Run “php bin/console obn:notify-inactive-users” command

*Expacted result:*

Any email is NOT sent to users that are inactive for 90 days

*Actual result:*

Email is sent to users that are not active for 90 days",,S4,88,,,1
Errors are not displayed on saving the WF if user do not specify rule/step action ,OBN1-11346,Bug,Done,P4,,4/21/2023 8:41,,OBN 1.33,,,,,"# Log in as Operator admin user
# Navigate on the “My organisation“ → “My workflows“
# Click “Create Workflow“ button and select “from scratch“
#  Fill in all mandatory fields on “Workflow creation“ page
# Click “Next“ button
# Add some phase and steps for phase
# Click “Next“ button
# On “Steps Configuration” step click “Save“ button

*Expected result:*

Phases and steps for which no rule/step action is specified are expanded, validation errors are displayed for fields.

*Actual result:*

User is redirected on “Workflow creating“ page, no errors are displayed on the “Step configuration“ step

!image-20230421-073901.png|width=1911,height=881!",,S4,90,,,1
